facility_id,facility_name,program_type,facility_status,is_active_facility,zipcode,latitude,longitude,geo_missing_flag,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capacity,under5_capacity_current,total_capacity
750919,37th Street DayCare Inc.,GFDC,License,1,11105,40.770636,-73.911191,False,0,0,0,4,12,12,16
869168,"Cabrera Solino, Julia",GFDC,License,1,10468,40.865971,-73.904187,False,0,0,0,4,12,12,16
119146,"Fredericks, Patricia",GFDC,License,1,11221,40.694843,-73.924736,False,0,0,0,4,12,12,16
737278,Mecca's Group Family Daycare LLC,GFDC,License,1,10457,40.84546,-73.889211,False,0,0,0,4,12,12,16
882937,"Espinal, Jarina",GFDC,License,1,10465,40.820459,-73.821034,False,0,0,0,4,12,12,16
687033,"Li, Huimin",GFDC,License,1,11204,40.609105,-73.986641,False,0,0,0,4,12,12,16
381946,"Mcculloch, Marcia",GFDC,License,1,11236,40.643729,-73.908887,False,0,0,0,4,12,12,16
852767,Cozy Group Family Day Care,GFDC,License,1,10465,40.829286,-73.822194,False,0,0,0,4,12,12,16
149672,"Regalado, Maria",FDC,Registration,1,10025,40.796276,-73.961533,False,0,0,0,2,6,6,8
873974,"Paredes Fabre, Katherine",FDC,Registration,1,10467,40.870738,-73.865357,False,0,0,0,2,6,6,8
612449,"New York Edge, Inc.",SACC,Registration,1,10475,40.875125,-73.833338,False,0,0,0,190,0,0,190
779237,Minerva Day Care,GFDC,License,1,10457,40.852962,-73.902755,False,0,0,0,2,12,12,14
876927,"Gonzalez, Jennifer",FDC,Registration,1,10453,40.849991,-73.91759,False,0,0,0,2,6,6,8
460961,Dylans's Day Care Inc.,GFDC,License,1,11226,40.648152,-73.962059,False,0,0,0,2,12,12,14
876879,"Guichardo Jimenez, Jenifer",GFDC,License,1,10452,40.83413,-73.929961,False,0,0,0,4,12,12,16
874764,"Rucker, Kaliyah Nytae",GFDC,License,1,10462,40.846527,-73.861587,False,0,0,0,4,12,12,16
709924,THE GREATER RIDGEWOOD YOUTH COUNCIL INC.,SACC,Registration,1,11358,40.765161,-73.789884,False,0,0,0,298,0,0,298
336037,"A N A Little Clapper Precare, Inc.",GFDC,License,1,11412,40.695255,-73.766867,False,0,0,0,4,12,12,16
861047,"Taylor, Catherine",GFDC,License,1,10467,40.879577,-73.867577,False,0,0,0,4,12,12,16
839227,Gan Devorah Inc.,GFDC,License,1,11367,,,True,0,0,0,4,12,12,16
690389,"Ferro, Rosa",GFDC,License,1,11368,40.748212,-73.858933,False,0,0,0,2,12,12,14
675329,Maria's Happy Kids Day Care Corp.,GFDC,License,1,10034,40.866701,-73.917976,False,0,0,0,2,12,12,14
689605,"Children's Art & Science Workshops, Inc. @ PS 18",SACC,Registration,1,10034,40.87156,-73.911522,False,0,0,0,126,0,0,126
870069,Great Little Achievers LLC,FDC,Registration,1,11212,40.663776,-73.903539,False,0,0,0,2,6,6,8
874949,S Sky Inc,SACC,Registration,1,11377,40.740807,-73.901337,False,0,0,0,39,0,0,39
794134,"Police Athletic League, Inc. @Polo Grounds Cornerstone",SACC,Registration,1,10039,40.831777,-73.935471,False,0,0,0,94,0,0,94
64035,"Rivera, Jennie",FDC,Registration,1,10002,40.717675,-73.982399,False,0,0,0,2,6,6,8
578420,EVA LEONOR FAMILY DAY CARE,GFDC,License,1,10458,40.86739,-73.892954,False,0,0,0,4,12,12,16
