zipcode,in_childcare,in_population,in_employment,in_income,in_potential_locations,n_facilities,n_active_facilities,existing_total_capacity,existing_under5_capacity,n_missing_geo,n_candidate_points
10178,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10179,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10185,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10199,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10203,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10211,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10212,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10213,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10242,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10249,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10256,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10258,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10259,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10260,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10261,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10265,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10268,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10269,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10270,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10271,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10272,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10273,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10274,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10275,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10276,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10277,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10278,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10279,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10280,1,1,1,1,1,1.0,1.0,509.0,0.0,0.0,100
10281,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10282,1,1,1,1,1,2.0,2.0,279.0,0.0,0.0,100
10285,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10286,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10301,1,1,1,1,1,32.0,32.0,1905.0,268.0,0.0,100
10302,1,1,1,1,1,19.0,19.0,744.0,190.0,0.0,100
10303,1,1,1,1,1,50.0,49.0,1629.0,486.0,0.0,100
10304,1,1,1,1,1,42.0,42.0,2020.0,356.0,1.0,100
10305,1,1,1,1,1,20.0,20.0,786.0,150.0,0.0,100
10306,1,1,1,1,1,15.0,15.0,578.0,108.0,0.0,100
10307,1,1,1,1,1,3.0,3.0,259.0,0.0,0.0,100
10308,1,1,1,1,1,6.0,6.0,431.0,30.0,0.0,100
10309,1,1,1,1,1,5.0,5.0,297.0,9.0,0.0,100
10310,1,1,1,1,1,27.0,25.0,1168.0,218.0,0.0,100
10311,1,1,0,0,1,1.0,1.0,123.0,0.0,0.0,100
10312,1,1,1,1,1,16.0,16.0,1140.0,119.0,0.0,100
10313,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10314,1,1,1,1,1,22.0,22.0,1654.0,156.0,1.0,100
10451,1,1,1,1,1,113.0,113.0,3287.0,1025.0,3.0,100
10452,1,1,1,1,1,287.0,287.0,6984.0,2895.0,10.0,100
10453,1,1,1,1,1,278.0,278.0,6841.0,2838.0,1.0,100
10454,1,1,1,1,1,71.0,71.0,3163.0,595.0,0.0,100
10455,1,1,1,1,1,111.0,111.0,3035.0,1002.0,1.0,100
10456,1,1,1,1,1,239.0,237.0,6942.0,2345.0,9.0,100
10457,1,1,1,1,1,249.0,249.0,6559.0,2544.0,0.0,100
10458,1,1,1,1,1,226.0,226.0,4657.0,2395.0,1.0,100
10459,1,1,1,1,1,135.0,135.0,4018.0,1300.0,2.0,100
10460,1,1,1,1,1,166.0,164.0,4820.0,1645.0,2.0,100
10461,1,1,1,1,1,42.0,42.0,1462.0,414.0,0.0,100
10462,1,1,1,1,1,115.0,115.0,3425.0,1168.0,0.0,100
10463,1,1,1,1,1,118.0,118.0,4249.0,1189.0,0.0,100
10464,1,1,1,1,1,3.0,3.0,114.0,12.0,0.0,100
10465,1,1,1,1,1,62.0,62.0,1888.0,648.0,0.0,100
10466,1,1,1,1,1,127.0,127.0,3192.0,1348.0,2.0,100
10467,1,1,1,1,1,214.0,214.0,6220.0,2245.0,5.0,100
10468,1,1,1,1,1,231.0,230.0,4308.0,2489.0,6.0,100
10469,1,1,1,1,1,94.0,94.0,2315.0,990.0,2.0,100
10470,1,1,1,1,1,19.0,19.0,632.0,204.0,0.0,100
10471,1,1,1,1,1,10.0,10.0,284.0,108.0,0.0,100
10472,1,1,1,1,1,135.0,135.0,3577.0,1381.0,0.0,100
10473,1,1,1,1,1,91.0,90.0,3548.0,860.0,1.0,100
10474,1,1,1,1,1,23.0,21.0,1194.0,204.0,0.0,100
10475,1,1,1,1,1,23.0,23.0,1808.0,162.0,0.0,100
11004,1,1,1,1,1,2.0,2.0,427.0,0.0,0.0,100
11005,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,100
11101,1,1,1,1,1,16.0,16.0,1616.0,78.0,0.0,100
11102,1,1,1,1,1,17.0,17.0,1390.0,90.0,0.0,100
11103,1,1,1,1,1,9.0,9.0,524.0,82.0,0.0,100
11104,1,1,1,1,1,10.0,10.0,1229.0,46.0,0.0,100
11105,1,1,1,1,1,8.0,8.0,830.0,48.0,0.0,100
11106,1,1,1,1,1,27.0,27.0,1535.0,186.0,1.0,100
11109,1,1,1,1,1,1.0,1.0,89.0,0.0,0.0,100
11120,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11201,1,1,1,1,1,30.0,30.0,1957.0,208.0,0.0,100
11202,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
11203,1,1,1,1,1,78.0,78.0,3405.0,680.0,0.0,100
11204,1,1,1,1,1,50.0,50.0,3192.0,432.0,0.0,100
11205,1,1,1,1,1,20.0,20.0,918.0,136.0,0.0,100
11206,1,1,1,1,1,57.0,57.0,3233.0,358.0,0.0,100
11207,1,1,1,1,1,155.0,153.0,6216.0,1370.0,1.0,100
11208,1,1,1,1,1,130.0,130.0,5054.0,1218.0,1.0,100
11209,1,1,1,1,1,20.0,20.0,1423.0,150.0,0.0,100
11210,1,1,1,1,1,51.0,51.0,2014.0,456.0,1.0,100
11211,1,1,1,1,1,29.0,29.0,2453.0,130.0,1.0,100
11212,1,1,1,1,1,110.0,107.0,5430.0,810.0,0.0,100
11213,1,1,1,1,1,44.0,41.0,2191.0,276.0,0.0,100
11214,1,1,1,1,1,32.0,32.0,2498.0,233.0,0.0,100
11215,1,1,1,1,1,85.0,85.0,3125.0,870.0,0.0,100
11216,1,1,1,1,1,32.0,32.0,1778.0,204.0,0.0,100
11217,1,1,1,1,1,24.0,24.0,1183.0,198.0,0.0,100
11218,1,1,1,1,1,59.0,59.0,3087.0,518.0,0.0,100
