facility_id_1,facility_id_2,zipcode,distance_miles
362595,744481,10468,0.05995674362195588
362595,904077,10468,0.059733985471441334
606328,731123,11361,0.0
680477,755952,10455,0.0
212911,489529,10455,0.0
767618,878999,10453,0.04469701107409981
767618,855105,10453,0.03512728352847837
767618,895513,10453,0.05720431299180865
767618,919677,10453,0.0
767618,905841,10453,0.040508698224524096
139195,818044,10029,0.04344848344922267
139195,796160,10029,0.04344848344922267
543420,831810,10467,0.03315522672962718
650114,888071,11236,0.0459991344604993
653844,855108,10033,0.019070714519736177
385789,891102,10460,0.05949154789480988
844004,914397,10465,0.019393873205153442
863815,882083,10452,0.04947983487419299
675147,886890,10472,0.045642305452231205
640154,795816,10458,0.045126997230744606
640154,836582,10458,0.045126997230744606
640154,783414,10458,0.004615570896820806
640154,804074,10458,0.004615570896820806
640154,741692,10458,0.004615570896820806
640154,893909,10458,0.0364948365564846
882480,920394,10459,8.664267707031377e-05
709788,73081,11225,0.036144940861333325
880446,882874,10460,0.0
880446,911532,10460,0.038628816532955426
463666,721767,11203,0.0070086136158914155
463666,883553,11203,0.005799606174629305
795781,795783,10472,0.0
795781,838290,10472,0.0446926528219851
795781,914873,10472,0.053140662748028054
795781,893465,10472,0.053140662748028054
795781,911698,10472,0.0446926528219851
878445,911892,10462,0.01856771396335096
661425,888590,11234,0.0
520607,711608,10026,0.013659239668256343
685059,734511,11219,0.0
685059,918984,11219,0.03885060255827812
470323,638130,10468,0.02645659802707707
470323,756200,10468,0.0
470323,870259,10468,0.05293438439551988
470323,641670,10468,0.021838851148200448
470323,880281,10468,0.0470526473421546
470323,641674,10468,0.021838851148200448
470323,895041,10468,0.001708743900389628
709709,818285,10453,0.04330268452092091
726636,751019,11205,0.05459620055719438
726636,897263,11205,0.019158377476184985
115368,223312,11212,0.05297757144899951
733880,922229,11422,0.054715542232306555
135779,747141,11212,0.04443924107566794
134999,170784,11210,0.04216698869204497
512675,797109,10453,0.057749772674277576
512675,799767,10453,0.03892052428264548
512675,889400,10453,0.03892052428264548
512675,906424,10453,0.03892052428264548
669953,869775,10453,0.05023421300732243
669953,916745,10453,0.052159298069741115
761930,905910,10451,0.05653080183772754
73013,759170,10452,0.04412457870302596
73013,858895,10452,0.04629246991113704
73013,751836,10452,0.04629246991113704
73013,877495,10452,0.0
73013,884986,10452,0.04629246991113704
73013,902086,10452,0.04629246991113704
878935,899493,10452,0.04050844677119752
741920,906522,10038,0.0
73114,820959,11216,0.04516793830909397
101510,813631,10460,0.04685101607830976
101510,882470,10460,0.018734096030720324
101510,904456,10460,0.02246836887710016
855554,916027,10468,0.013892103663059418
855554,901214,10468,0.013892103663059418
855554,901169,10468,0.05304150103671176
855554,883951,10468,0.01973978055094127
151224,851111,10458,0.05272632047541316
151224,784201,10458,0.05272632047541316
151224,884433,10458,0.018457653163444283
151224,898861,10458,0.041022355772799786
335483,626946,10458,0.02529930570389104
335483,815451,10458,0.04186617616100354
335483,865966,10458,0.04902971288882824
335483,844386,10458,0.02529930570389104
335483,771971,10458,0.04144581289182939
335483,72356,10458,0.04160830602325038
335483,837881,10458,0.04186617616100354
335483,886285,10458,0.025102978537973185
651687,841220,10452,0.02647762690022385
651687,897987,10452,0.02638772723243544
579209,757244,10458,0.05085119360769102
579209,876545,10458,0.04955060679990567
579209,916235,10458,0.02350468569971217
579209,902973,10458,0.04860039164157829
873653,898335,10451,0.02910792059173151
642608,818197,10451,0.026816203333736358
642608,679158,10451,0.035760818332214006
642608,795985,10451,0.039265115630212066
642608,919750,10451,0.026816203333736358
642608,883189,10451,0.0
642608,917541,10451,0.0
700840,880582,10468,0.004627018558127709
700840,744481,10468,0.05085482539563209
700840,867780,10468,0.004627018558127709
700840,883383,10468,0.04588769350639451
700840,912714,10468,0.004627018558127709
786945,925531,11213,0.0
810401,891045,10458,0.05379409214450025
810401,914206,10458,0.03078851810985271
810401,912192,10458,0.04454433389728126
761308,834557,10459,0.03563083180218181
761308,905668,10459,0.014372441756437686
223312,386822,11212,0.05407534497000471
223312,631691,11212,0.05861081207317107
272103,885791,11368,0.04968330035228685
761961,816641,11207,0.05613544903142062
761961,914763,11207,0.03375555092737304
804642,885171,10466,0.05190105913094282
828741,874322,11208,0.025640655633540874
654100,761504,10040,0.007784498775711065
654100,749139,10040,0.022935301550786075
654100,847269,10040,0.048046325017558296
654100,910260,10040,0.028363264772473622
654100,893391,10040,0.04941271396761367
534680,629294,10452,0.04322804849908714
534680,769035,10452,0.04322804849908714
534680,877737,10452,0.04322804849908714
534680,801831,10452,0.057525854887041775
534680,673051,10452,0.04088929302887773
534680,799638,10452,0.008338399219810843
534680,821523,10452,0.0
534680,894194,10452,0.04322804849908714
534680,889546,10452,0.04088929302887773
546216,863653,10452,0.0
546216,750909,10452,0.04013457199032719
546216,855204,10452,0.0
546216,879468,10452,0.05070194149152762
546216,691459,10452,0.04013457199032719
546216,897518,10452,0.05070194149152762
546216,886819,10452,0.04013457199032719
712458,879464,10465,0.031486360560349244
712458,829833,10465,0.032670381590001685
712458,904012,10465,0.047534200026027824
712458,898204,10465,0.021358996648106695
712458,908588,10465,0.031486360560349244
709684,812072,10465,0.0
709684,709692,10465,0.0
768279,829839,10460,0.01571648933735246
538389,600382,10466,0.04491102929632764
441165,757062,10460,0.0
798524,881865,10468,0.05250974982230814
798524,895105,10468,0.05747660867742064
798524,900252,10468,0.05747660867742064
798524,901699,10468,0.025005441163516145
734457,74009,10463,0.0
422386,823939,11203,0.051082052454533386
610363,74220,11239,0.0
610363,721507,11239,0.0
392860,53919,10453,0.052105945785792376
392860,743070,10453,0.0
392860,54152,10453,0.052105945785792376
392860,703156,10453,0.044768577932436875
392860,71586,10453,0.055916969123145685
392860,475321,10453,0.049890988733517924
706211,885296,10033,0.00034939782566871335
652938,909803,11106,0.05091359994002793
679417,855186,10027,0.046376120690930916
679417,709912,10027,0.046376120690930916
679417,709905,10027,0.046775519438951495
365706,843623,10460,0.03902124693346585
732946,761930,10451,0.0
732946,905910,10451,0.05653080183772754
221678,819734,10453,0.05820820422037262
221678,873691,10453,0.022460870452743472
221678,816157,10453,0.03432939529914696
221678,847531,10453,0.0
221678,541029,10453,0.030084054860490303
221678,858797,10453,0.015091061099955054
221678,883551,10453,0.030084054860490303
221678,910262,10453,0.0
221678,891819,10453,0.03432939529914696
221678,902523,10453,0.0
292267,72909,10460,0.0577660167748364
206556,734854,11104,0.042715441798989943
698305,831831,10463,0.022938002572122352
698305,903133,10463,0.022938002572122352
698305,915750,10463,0.057328570203676585
878258,917919,10460,0.0292759945226595
621713,690122,11233,0.02342320049079408
150059,428176,10468,0.0
150059,884095,10468,0.04652406444101279
338029,908644,10002,0.041082844002481265
338029,918787,10002,0.0459700570327745
675945,828768,10454,0.0
675945,896219,10454,0.036939065004123174
237212,901109,11220,0.049661038612625746
854827,882466,10452,0.04995627799601028
