candidate_id,facility_id,zipcode,distance_miles
3050,538630,10032,0.028131357770120064
3050,801953,10032,0.041875579332466766
3053,508078,10032,0.026379079320527195
3053,473956,10032,0.0350883953610357
3054,868463,10032,0.05280140485688235
3058,828953,10032,0.03377289850006378
3058,906855,10032,0.041524569043643454
3058,903562,10032,0.041524569043643454
3061,120660,10032,0.010803929476698058
3061,913922,10032,0.04576595754684576
3068,709914,10032,0.05583362575294009
3073,910935,10032,0.03250764849350762
3078,867335,10032,0.045105884304644024
3083,72818,10032,0.035153421999321324
3085,867335,10032,0.018799289370028074
3090,742498,10032,0.027401742090376827
3090,455495,10032,0.038140184956503925
3092,867335,10032,0.044239022997673516
3104,839704,10033,0.04842248471009767
3104,244213,10033,0.056015577437726
3106,653844,10033,0.02830162119731515
3106,848990,10033,0.0517412327236726
3106,855108,10033,0.030546672704635708
3117,739040,10033,0.04977756194353681
3128,824851,10033,0.05053940212652957
3130,67012,10033,0.03281465530153993
3133,807337,10033,0.04723445051631363
3133,896950,10033,0.04977270171070039
3135,795601,10033,0.02558264774674919
3135,729748,10033,0.04118250041660013
3135,285268,10033,0.050207713813346086
3135,67012,10033,0.041691329842454286
3135,905404,10033,0.05574082823501226
3150,74215,10033,0.030449779018201326
3150,473911,10033,0.022702997432315818
3150,853987,10033,0.018352873592686118
3150,709918,10033,0.02933240734324237
3152,681612,10033,0.021872015713860167
3152,885815,10033,0.02742676592644442
3154,67012,10033,0.029076707472658062
3157,774636,10033,0.015883357243707152
3157,244213,10033,0.057167301986403955
3157,601487,10033,0.0032326202989637247
3163,74215,10033,0.02686633992150025
3163,853987,10033,0.0453657377282401
3163,709918,10033,0.026489288425019353
3174,880366,10033,0.03378926566204906
3174,907739,10033,0.03378926566204906
3179,885815,10033,0.02658882317106585
3180,285268,10033,0.046226437853343454
3180,899302,10033,0.028351007800848836
3181,596695,10033,0.031200400361578114
3181,836776,10033,0.021196254076779202
3183,586166,10033,0.05551490740869969
3185,455011,10033,0.00613361876947159
3185,814455,10033,0.0336255237002884
3185,687440,10033,0.05359590150054596
3185,910360,10033,0.039596230018775706
3189,352517,10033,0.0287467500177779
3189,741672,10033,0.0287467500177779
3189,799005,10033,0.0287467500177779
3189,829521,10033,0.0287467500177779
3189,229697,10033,0.018056551328251406
3189,840494,10033,0.0287467500177779
3189,904346,10033,0.0287467500177779
3190,845680,10033,0.050614416932995066
