facility_id,facility_name,zipcode,program_type,n_f,b_f,U_f,U_f_int,cslot_f,alpha_big_f,x_added,x_total_added,u_under5_added,delta_triggered,selected_cost_regime,expansion_cost,under5_equipment_cost_expansion,total_facility_related_cost
621325,Child Center of NY @ PS 182Q,11432,SACC,301.0,0.0,361.2,361,250,266.4451827242525,361.0,361.0,361.0,1,high_cost_rule,96186.71096345516,36100.0,132286.71096345515
804630,YMCA of Greater New York,10023,SACC,300.0,0.0,360.0,360,250,266.6666666666667,360.0,360.0,360.0,1,high_cost_rule,96000.0,36000.0,132000.0
267316,NIA COMMUNITY SERVICES NETWORK @ P.S. 247,11204,SACC,300.0,0.0,360.0,360,250,266.6666666666667,360.0,360.0,360.0,1,high_cost_rule,96000.0,36000.0,132000.0
248021,"New York Edge, Inc.",11206,SACC,300.0,0.0,360.0,360,250,266.6666666666667,360.0,360.0,360.0,1,high_cost_rule,96000.0,36000.0,132000.0
708000,Good Shepherd Services @ Brooklyn Scholars,11208,SACC,300.0,0.0,360.0,360,250,266.6666666666667,360.0,360.0,360.0,1,high_cost_rule,96000.0,36000.0,132000.0
414940,NIA COMMUNITY SERVICES NETWORK @ IS 187,11219,SACC,300.0,0.0,360.0,360,250,266.6666666666667,360.0,360.0,360.0,1,high_cost_rule,96000.0,36000.0,132000.0
652096,Flatbush Development Corp @ P.S. 152,11230,SACC,300.0,0.0,360.0,360,250,266.6666666666667,360.0,360.0,360.0,1,high_cost_rule,96000.0,36000.0,132000.0
73286,"New York Edge, Inc.",11233,SACC,300.0,0.0,360.0,360,250,266.6666666666667,360.0,360.0,360.0,1,high_cost_rule,96000.0,36000.0,132000.0
243866,Shorefront Y Stars @ P.S. 225,11235,SACC,300.0,0.0,360.0,360,250,266.6666666666667,360.0,360.0,360.0,1,high_cost_rule,96000.0,36000.0,132000.0
809261,"Queens Community House, Inc. @ PS 149",11372,SACC,300.0,0.0,360.0,360,250,266.6666666666667,360.0,360.0,360.0,1,high_cost_rule,96000.0,36000.0,132000.0
904343,Southern Queens Park Association,11434,SACC,300.0,0.0,360.0,360,250,266.6666666666667,360.0,360.0,299.0,1,high_cost_rule,96000.0,29900.0,125900.0
244586,LEAP AFTER SCHOOL AT I.S. 22,10456,SACC,360.0,0.0,432.0,432,250,255.55555555555551,359.0,359.0,359.0,0,low_cost_rule,89750.0,35900.0,125650.0
686807,"NIA Community Services Network, Inc.",11209,SACC,294.0,0.0,352.8,352,250,268.02721088435374,352.0,352.0,352.0,1,high_cost_rule,94345.57823129251,35200.0,129545.57823129251
183778,Mosholu Montefiore Community Ctr @PS/MS-20,10467,SACC,352.0,0.0,422.4,422,250,256.8181818181818,351.0,351.0,351.0,0,low_cost_rule,87750.0,35100.0,122850.0
874737,"Center for Family Life in Sunset Park, Inc.",11220,SACC,350.0,0.0,420.0,420,250,257.14285714285717,349.0,349.0,349.0,0,low_cost_rule,87250.0,34900.0,122150.0
74003,"Chinese-American Planning Council, Inc. @ PS 153",11229,SACC,290.0,0.0,348.0,348,250,268.9655172413793,348.0,348.0,348.0,1,high_cost_rule,93600.0,34800.0,128400.0
817984,Research Foundation of the CUNY @ P.S. 6,11226,SACC,285.0,0.0,342.0,342,250,270.17543859649123,342.0,342.0,342.0,1,high_cost_rule,92400.0,34200.0,126600.0
791237,Yeshiva Kehilath Yakov,11211,SACC,284.0,0.0,340.8,340,250,270.4225352112676,340.0,340.0,340.0,1,high_cost_rule,91943.66197183098,34000.0,125943.66197183098
709792,"Mosholu Montefiore Community Center, Inc.",10470,SACC,280.0,0.0,336.0,336,250,271.42857142857144,336.0,336.0,336.0,1,high_cost_rule,91200.0,33600.0,124800.0
219345,Crown Heights Beacon Center @ PS-138,11216,SACC,280.0,0.0,336.0,336,250,271.42857142857144,336.0,336.0,336.0,1,high_cost_rule,91200.0,33600.0,124800.0
709655,"New York Edge, Inc.",11414,SACC,280.0,0.0,336.0,336,250,271.42857142857144,336.0,336.0,336.0,1,high_cost_rule,91200.0,33600.0,124800.0
254731,PS 11 Programs Inc.,10011,SACC,400.0,0.0,480.0,480,250,250.0,333.0,333.0,333.0,0,low_cost_rule,83250.0,33300.0,116550.0
338489,GOOD SHEPHERD SERVICES CS 300,10457,SACC,399.0,0.0,478.7999999999999,478,250,250.125313283208,333.0,333.0,333.0,0,low_cost_rule,83250.0,33300.0,116550.0
73348,"St. Nick Alliance Corp., @ Williamsburg Beacon Center",11211,SACC,278.0,0.0,333.59999999999997,333,250,271.9424460431655,333.0,333.0,333.0,1,high_cost_rule,90556.83453237411,33300.0,123856.83453237411
751001,Inwood Community Services @MS 366,10034,SACC,388.0,0.0,465.6,465,250,251.5463917525773,324.0,324.0,324.0,0,low_cost_rule,81000.0,32400.0,113400.0
709928,"Bronx House, Inc.",10467,SACC,325.0,0.0,390.0,390,250,261.53846153846155,324.0,324.0,324.0,0,low_cost_rule,81000.0,32400.0,113400.0
73761,Sunnyside Community Services @ PS 199,11104,SACC,325.0,0.0,390.0,390,250,261.53846153846155,324.0,324.0,324.0,0,low_cost_rule,81000.0,32400.0,113400.0
800709,BPA of NY INC.,11365,SACC,267.0,0.0,320.4,320,250,274.9063670411985,320.0,320.0,320.0,1,high_cost_rule,87970.03745318353,32000.0,119970.03745318353
874735,"Center for Family Life in Sunset Park, Inc.",11220,SACC,318.0,0.0,381.6,381,250,262.8930817610063,317.0,317.0,317.0,0,low_cost_rule,79250.0,31700.0,110950.0
74153,Morningside Center For Teaching Social Responsibility@ P.S. 24,11232,SACC,380.0,0.0,456.0,456,250,252.6315789473684,317.0,317.0,317.0,0,low_cost_rule,79250.0,31700.0,110950.0
902929,"SCAN-Harbor, Inc.",10456,SACC,317.0,0.0,380.4,380,250,263.09148264984225,316.0,316.0,316.0,0,low_cost_rule,79000.0,31600.0,110600.0
912608,"Imogen Roche Foundation, Inc.",10028,SACC,316.0,0.0,379.2,379,250,263.2911392405063,315.0,315.0,315.0,0,low_cost_rule,78750.0,31500.0,110250.0
229087,SCAN-Harbor,10453,SACC,420.0,0.0,500.0,500,250,247.6190476190476,313.0,313.0,313.0,0,low_cost_rule,78250.0,31300.0,109550.0
709781,"New York Edge, Inc.",11213,SACC,261.0,0.0,313.2,313,250,276.62835249042143,313.0,313.0,313.0,1,high_cost_rule,86584.67432950191,31300.0,117884.67432950191
894926,TEiAM Corp,11238,SACC,259.0,0.0,310.8,310,250,277.2200772200772,310.0,310.0,310.0,1,high_cost_rule,85938.22393822393,31000.0,116938.22393822393
244213,"COMMUNITY ASSOCIATION OF PROGRESSIVE DOMINICANS, INC.",10033,SACC,366.0,0.0,439.2,439,250,254.6448087431694,306.0,306.0,306.0,0,low_cost_rule,76500.0,30600.0,107100.0
880615,"Serious Fun After School, Inc.",11105,SACC,255.0,0.0,306.0,306,250,278.4313725490196,306.0,306.0,306.0,1,high_cost_rule,85200.0,30600.0,115800.0
120981,Henry Street Settlement ASP @PS 20,10002,SACC,306.0,0.0,367.2,367,250,265.359477124183,305.0,305.0,305.0,0,low_cost_rule,76250.0,30500.0,106750.0
709740,"Ascend Learning, Inc. @ BAMS After School Program",11212,SACC,365.0,0.0,438.0,438,250,254.7945205479452,305.0,305.0,305.0,0,low_cost_rule,76250.0,30500.0,106750.0
724276,Women's Housing and Economic Development Corporation,10452,SACC,363.0,0.0,435.6,435,250,255.0964187327824,304.0,304.0,304.0,0,low_cost_rule,76000.0,30400.0,106400.0
709658,"ASPIRA of New York, Inc.",10455,SACC,353.0,0.0,423.6,423,250,256.657223796034,302.0,302.0,295.0,0,low_cost_rule,75500.0,29500.0,105000.0
874739,"Center for Family Life in Sunset Park, Inc.",11232,SACC,360.0,0.0,432.0,432,250,255.55555555555551,301.0,301.0,301.0,0,low_cost_rule,75250.0,30100.0,105350.0
736227,New York Center for Interpersonal Development @ PS 59,10301,SACC,300.0,0.0,360.0,360,250,266.6666666666667,299.0,299.0,299.0,0,low_cost_rule,74750.0,29900.0,104650.0
777509,"Sunnyside Community Service, Inc@ PS 343",11104,SACC,300.0,0.0,360.0,360,250,266.6666666666667,299.0,299.0,299.0,0,low_cost_rule,74750.0,29900.0,104650.0
607682,O.S.T Program @ P.S. 306,11421,SACC,300.0,0.0,360.0,360,250,266.6666666666667,299.0,299.0,299.0,0,low_cost_rule,74750.0,29900.0,104650.0
874734,"Center for Family Life in Sunset Park, Inc.",11220,SACC,298.0,0.0,357.59999999999997,357,250,267.1140939597315,297.0,297.0,297.0,0,low_cost_rule,74250.0,29700.0,103950.0
709924,THE GREATER RIDGEWOOD YOUTH COUNCIL INC.,11358,SACC,298.0,0.0,357.59999999999997,357,250,267.1140939597315,297.0,297.0,297.0,0,low_cost_rule,74250.0,29700.0,103950.0
796135,Boys and Girls Club of Metro Queens @P.S. 62,11419,SACC,298.0,0.0,357.59999999999997,357,250,267.1140939597315,297.0,297.0,297.0,0,low_cost_rule,74250.0,29700.0,103950.0
73347,Cypress Hills Local Dev/Ps 7,11208,SACC,297.0,0.0,356.4,356,250,267.3400673400673,296.0,296.0,296.0,0,low_cost_rule,74000.0,29600.0,103600.0
806992,Camba Inc.@ PS 164,11219,SACC,247.0,0.0,296.4,296,250,280.97165991902835,296.0,296.0,296.0,1,high_cost_rule,83167.6113360324,29600.0,112767.6113360324
748898,Mosholu Montefiore  Community  Center Evander Campus Beacon,10467,SACC,294.0,0.0,352.8,352,250,268.02721088435374,293.0,293.0,293.0,0,low_cost_rule,73250.0,29300.0,102550.0
339149,Millennium Development @ PS 115,11236,SACC,294.0,0.0,352.8,352,250,268.02721088435374,293.0,293.0,293.0,0,low_cost_rule,73250.0,29300.0,102550.0
709615,THE GREATER RIDGEWOOD YOUTH COUNCIL INC.,11379,SACC,350.0,0.0,420.0,420,250,257.14285714285717,293.0,293.0,293.0,0,low_cost_rule,73250.0,29300.0,102550.0
122967,Heartshare One World After School@ PS 102,11209,SACC,244.0,0.0,292.8,292,250,281.9672131147541,292.0,292.0,292.0,1,high_cost_rule,82334.42622950819,29200.0,111534.42622950819
73121,Edith & Carl Marks Jewish Comm. House of BHRS,11214,SACC,293.0,0.0,351.59999999999997,351,250,268.259385665529,292.0,292.0,171.0,0,low_cost_rule,73000.0,17100.0,90100.0
709905,"Friends of KIPP S.T.A.R College Prep Charter School, Inc. at PS 125",10027,SACC,291.0,0.0,349.2,349,250,268.72852233676974,290.0,290.0,290.0,0,low_cost_rule,72500.0,29000.0,101500.0
709623,Greater Ridgewood Youth Council Inc.,11367,SACC,291.0,0.0,349.2,349,250,268.72852233676974,290.0,290.0,290.0,0,low_cost_rule,72500.0,29000.0,101500.0
741995,"Manhattan Youth Recreation and Resources, Inc.",10004,SACC,250.0,0.0,300.0,300,250,280.0,289.0,289.0,289.0,1,high_cost_rule,80920.0,28900.0,109820.0
