facility_id,facility_name,program_type,zipcode,latitude,longitude,n_f,b_f,cap1,cap2,cap3,cap10_cum,cap15_cum,cap20_cum,U_f_realistic,coef1,coef2,coef3,expand_low_band,expand_mid_band,expand_high_band,selected_cost_band,u_under5,expand_total,expansion_cost,under5_equipment_cost_expansion,total_expansion_related_cost
765038,"Aspira, Inc. @PS/MS 161",SACC,10027,40.817657,-73.952936,60,0,6,3,3,6,9,12,12,533.3333333333334,733.3333333333334,1333.3333333333333,6.0,3.0,0.0,10_15_pct,9.0,9.0,5400.0,900.0,6300.0
873512,I'RAISE Girls and Boys International Corporation,SACC,11233,40.675123,-73.915349,111,0,11,5,6,11,16,22,22,380.1801801801802,580.1801801801802,1180.1801801801803,11.0,2.0,0.0,10_15_pct,13.0,13.0,5342.342342342343,1300.0,6642.342342342343
742495,East Harlem Tutorial Program @PS/IS 171,SACC,10029,40.792005,-73.95131,97,0,9,5,5,9,14,19,19,406.1855670103093,606.1855670103092,1206.1855670103091,9.0,-0.0,-0.0,0_10_pct,9.0,9.0,3655.6701030927834,900.0,4555.670103092783
73945,YMCA of Greater NY @Harlem Y PS 57,SACC,10029,40.79748,-73.941356,74,0,7,4,3,7,11,14,14,470.27027027027026,670.2702702702703,1270.2702702702702,7.0,-0.0,-0.0,0_10_pct,7.0,7.0,3291.8918918918916,700.0,3991.8918918918916
709769,"Police Athletic League, Inc",SACC,10457,40.848415,-73.892923,257,0,25,13,13,25,38,51,51,277.82101167315176,477.82101167315176,1077.8210116731518,25.0,13.0,-0.0,10_15_pct,38.0,38.0,13157.198443579768,3800.0,16957.198443579768
854082,Police Athletic League,SACC,10459,40.817224,-73.897428,260,0,26,13,13,26,39,52,52,276.9230769230769,476.9230769230769,1076.923076923077,26.0,13.0,0.0,10_15_pct,39.0,39.0,13400.0,3900.0,17300.0
348885,Jacob A. Riis Settlement House @ PS 166,SACC,11106,40.757339,-73.926471,216,0,21,11,11,21,32,43,43,292.5925925925926,492.5925925925926,1092.5925925925926,21.0,-0.0,-0.0,0_10_pct,21.0,21.0,6144.444444444445,2100.0,8244.444444444445
748366,"New York Center for Interpersonal Development, Inc.",SACC,10309,40.541666,-74.218138,122,0,12,6,6,12,18,24,24,363.9344262295082,563.9344262295082,1163.9344262295083,12.0,6.0,-0.0,10_15_pct,18.0,18.0,7750.819672131148,1800.0,9550.819672131147
837597,I Have a Dream Foundation,SACC,10001,40.748836,-73.99981,84,0,8,4,4,8,12,16,16,438.0952380952381,638.0952380952381,1238.095238095238,8.0,1.0,-0.0,10_15_pct,9.0,9.0,4142.857142857143,900.0,5042.857142857143
863025,Stats Legacy Inc,SACC,11236,40.641094,-73.898145,80,0,8,4,4,8,12,16,16,450.0,650.0,1250.0,8.0,-0.0,-0.0,0_10_pct,8.0,8.0,3600.0,800.0,4400.0
